"","ACTIVITY_TREATMENT_UNIT_ID","OPENING_ID","AREA","SPECIES","NUMBER_PLANTED","SEEDLOT_NUMBER","PLANTING_DATE","REGION","DISTRICT","YEAR","BGC","Zone","Subzone"
"4028",3661139,1688087,2,"BA",370,39637,2019-06-13,"RSK","DSS",2019,"ICHmc","ICH","mc"
"4029",220950,52325,2.5,"BA",1250,43070,1999-05-11,"RSK","DKM",1999,"CWHws","CWH","ws"
"4030",3338094,1605875,14.8,"BL",1080,47716,2015-06-05,"RSK","DND",2015,"SBSmc","SBS","mc"
"4031",3338094,1605875,14.8,"BL",720,47716,2015-06-05,"RSK","DND",2015,"SBSmc","SBS","mc"
"4032",409125,36388,22,"BA",4700,NA,1991-06-01,"RSK","DKM",1991,"MHmm","MH","mm"
"4033",2976022,1264970,15.4,"BA",3315,41423,2013-04-26,"RSK","DKM",2013,"CWHws","CWH","ws"
"4034",3336451,1605376,12,"BL",3160,47716,2015-05-16,"RSK","DSS",2015,"SBSmc","SBS","mc"
"4035",3337631,1605481,19.5,"BL",5560,47716,2015-05-16,"RSK","DSS",2015,"SBSmc","SBS","mc"
"4036",672790,38691,7.2,"BA",643,35027,1995-05-01,"RSK","DKM",1995,"CWHvm","CWH","vm"
"4037",821808,71285,76.2,"BL",26700,43678,2001-07-01,"RSK","DSS",2001,"ESSFmc","ESSF","mc"
"4038",479716,8201,5.2,"BL",1260,39074,1997-07-01,"RCB","DQU",1997,"ESSFwk","ESSF","wk"
"4039",480411,8311,74.8,"BL",4050,39074,1996-08-01,"RCB","DQU",1996,"ESSFwk","ESSF","wk"
"4040",495469,44128,50.7,"BL",14900,39609,1998-07-01,"RSK","DND",1998,"ESSFmc","ESSF","mc"
"4041",495469,44128,50.7,"BL",6100,32270,1998-07-01,"RSK","DND",1998,"ESSFmc","ESSF","mc"
"4042",810235,55605,31.5,"BL",2320,40294,2000-06-01,"RSK","DND",2000,"SBSmc","SBS","mc"
"4043",2120100,1119945,37.4,"BL",945,47450,2007-07-22,"RSK","DND",2007,"SBSdk","SBS","dk"
"4044",2719722,1432712,13.6,"BA",6750,39636,2011-09-20,"RSK","DKM",2011,"ICHmc","ICH","mc"
"4045",3618565,1687767,7.3,"BA",3456,40449,2018-04-23,"RSK","DKM",2018,"CWHvh","CWH","vh"
"4046",3628930,1688084,11.5,"BA",3072,40449,2018-06-02,"RSK","DKM",2018,"CWHvh","CWH","vh"
"4047",3620092,1688099,0.9,"BA",648,40449,2018-04-22,"RSK","DKM",2018,"CWHvh","CWH","vh"
