"","ACTIVITY_TREATMENT_UNIT_ID","OPENING_ID","AREA","SPECIES","NUMBER_PLANTED","SEEDLOT_NUMBER","PLANTING_DATE","REGION","DISTRICT","YEAR","BGC","Zone","Subzone"
"1",379616,14342,59.5,"BL",1600,NA,1991-06-01,"ROM","DMK",1991,"ESSFmv","ESSF","mv"
"2",253022,59313,22.5,"BA",555,35011,1998-09-20,"RSK","DKM",1998,"ICHmc","ICH","mc"
"3",827102,81491,23.6,"BA",9490,47454,2001-06-22,"RSK","DKM",2001,"CWHws","CWH","ws"
"4",827102,81491,23.6,"BA",1065,41424,2001-06-22,"RSK","DKM",2001,"CWHws","CWH","ws"
"5",866645,96042,15,"BL",19590,44927,2001-07-30,"RCB","DQU",2001,"ESSFwk","ESSF","wk"
"6",1695931,106209,21.2,"BL",9045,39428,2003-06-30,"ROM","DMK",2003,"ESSFmv","ESSF","mv"
"7",1847770,1071768,12.4,"BA",4590,43076,2005-06-27,"RSK","DKM",2005,"CWHws","CWH","ws"
"8",1847770,1071768,12.4,"BA",2475,8643,2005-06-27,"RSK","DKM",2005,"CWHws","CWH","ws"
"9",2709590,1421330,49.3,"BL",2520,47714,2011-07-15,"RSK","DSS",2011,"SBSmc","SBS","mc"
"10",2709590,1421330,49.3,"BL",13560,47714,2011-07-15,"RSK","DSS",2011,"SBSmc","SBS","mc"
"11",2709590,1421330,49.3,"BL",2490,47714,2011-07-15,"RSK","DSS",2011,"SBSmc","SBS","mc"
"12",3493256,1693155,11.4,"BL",2040,44993,2017-07-13,"RCB","DQU",2017,"SBSwk","SBS","wk"
"13",3493256,1693155,11.4,"BL",1080,44928,2017-07-13,"RCB","DQU",2017,"SBSwk","SBS","wk"
"14",716279,8351,36,"BL",8062,40408,1999-08-15,"RCB","DQU",1999,"ESSFwk","ESSF","wk"
"15",397615,28458,45.1,"BL",9140,35016,1995-05-01,"RSK","DSS",1995,"ICHmc","ICH","mc"
"16",397615,28458,45.1,"BL",6400,35018,1995-05-01,"RSK","DSS",1995,"ICHmc","ICH","mc"
"17",225169,52337,3.1,"BL",1320,43004,1998-09-15,"RSK","DKM",1998,"ICHmc","ICH","mc"
"18",-352340015,-352340000,33,"BA",38000,35026,1993-05-01,"RSK","DKM",1993,"CWHvm","CWH","vm"
"19",19697,1036,3.3,"BA",900,35563,1999-05-17,"RSK","DKM",1999,"CWHws","CWH","ws"
"20",407197,28763,40.4,"BL",50100,NA,1993-09-01,"RSK","DKM",1993,"ICHvc","ICH","vc"
"21",407426,28806,5.5,"BL",5920,40058,1999-06-01,"RSK","DKM",1999,"ICHvc","ICH","vc"
"22",768788,28812,30.5,"BL",5580,40023,2000-06-21,"RSK","DKM",2000,"ICHvc","ICH","vc"
"23",768788,28812,30.5,"BL",3900,43007,2000-06-21,"RSK","DKM",2000,"ICHvc","ICH","vc"
"24",768788,28812,30.5,"BL",3300,43101,2000-06-21,"RSK","DKM",2000,"ICHvc","ICH","vc"
"25",410251,44024,15.4,"BA",4050,32609,1998-06-01,"RSK","DKM",1998,"CWHws","CWH","ws"
"26",397165,52594,47.3,"BL",36800,39592,1997-06-01,"RSK","DSS",1997,"ICHmc","ICH","mc"
"27",2730118,59604,9.5,"BL",1040,30829,1999-07-22,"ROM","DMK",1999,"ESSFmv","ESSF","mv"
"28",2794816,1416411,3,"BL",165,47714,2012-06-27,"RSK","DND",2012,"SBSmc","SBS","mc"
"29",152641,-240220000,1.8,"BA",10,32638,1995-06-13,"RSK","DKM",1995,"CWHws","CWH","ws"
"30",397561,28446,31.5,"BL",7820,NA,1993-05-01,"RSK","DSS",1993,"ICHmc","ICH","mc"
"31",271964,62220,21.2,"BA",5590,45358,2001-09-05,"RSK","DKM",2001,"CWHvh","CWH","vh"
"32",412875,68365,13.7,"BA",370,40449,1998-09-01,"RSK","DKM",1998,"CWHvm","CWH","vm"
"33",412875,68365,13.7,"BA",5280,47460,1998-09-01,"RSK","DKM",1998,"CWHvm","CWH","vm"
"34",2132029,87758,49.1,"BL",7115,47450,2007-07-30,"RSK","DND",2007,"SBSmc","SBS","mc"
"35",2738051,1282750,8.9,"BL",3780,47714,2010-06-21,"RSK","DSS",2010,"SBSmc","SBS","mc"
"36",3205421,1393151,1.1,"BA",120,43070,2014-05-28,"RSK","DKM",2014,"CWHws","CWH","ws"
"37",3280168,1541118,21.7,"BL",9300,43001,2015-07-15,"RSK","DSS",2015,"ICHwc","ICH","wc"
"38",407899,28657,8.5,"BL",4455,40023,1999-07-01,"RSK","DKM",1999,"ICHmc","ICH","mc"
"39",408124,28699,32.5,"BA",1910,36055,1997-06-01,"RSK","DKM",1997,"ICHmc","ICH","mc"
"40",408124,28699,32.5,"BA",20000,35008,1997-06-01,"RSK","DKM",1997,"ICHmc","ICH","mc"
"41",401220,31264,12.3,"BL",2000,32366,1996-05-01,"RSK","DSS",1996,"ESSFmc","ESSF","mc"
"42",407933,28664,5,"BA",150,35008,1997-06-01,"RSK","DKM",1997,"ICHmc","ICH","mc"
"43",303173,66114,21,"BL",11745,35573,2001-08-22,"RSK","DSS",2001,"ESSFmc","ESSF","mc"
"44",2054741,1066018,10.7,"BL",3300,43010,2007-06-14,"RSK","DND",2007,"SBSmc","SBS","mc"
"45",2815435,1387512,4.3,"BL",340,47716,2012-06-11,"RSK","DND",2012,"SBSmc","SBS","mc"
"46",343049,79924,17.8,"BA",4860,43070,2001-06-10,"RSK","DKM",2001,"CWHws","CWH","ws"
"47",343049,79924,17.8,"BA",195,35560,2001-06-10,"RSK","DKM",2001,"CWHws","CWH","ws"
"48",2133088,1111797,12.9,"BL",6270,47970,2007-07-13,"ROM","DMK",2007,"SBSmk","SBS","mk"
"49",683643,53784,44.9,"BA",22140,47453,1999-06-01,"RSK","DKM",1999,"CWHws","CWH","ws"
"50",289460,68343,19.2,"BA",9855,35574,2001-06-29,"RSK","DSS",2001,"ICHmc","ICH","mc"
"51",410200,36613,24.7,"BA",9710,34989,1998-05-01,"RSK","DKM",1998,"CWHws","CWH","ws"
"52",410200,36613,24.7,"BA",5625,36024,1998-05-01,"RSK","DKM",1998,"CWHws","CWH","ws"
"53",410200,36613,24.7,"BA",270,34988,1998-05-01,"RSK","DKM",1998,"CWHws","CWH","ws"
"54",507236,54036,11.6,"BL",4657,30823,1997-06-01,"ROM","DVA",1997,"SBSwk","SBS","wk"
"55",731563,64244,1.4,"BL",875,32367,2000-06-01,"RSK","DSS",2000,"ESSFmc","ESSF","mc"
"56",506870,34674,24.6,"BL",8100,30823,1997-06-01,"ROM","DVA",1997,"SBSmk","SBS","mk"
"57",412862,64919,28.9,"BA",780,39585,1999-05-01,"RSK","DKM",1999,"ICHmc","ICH","mc"
"58",412862,64919,28.9,"BL",960,47479,1999-05-01,"RSK","DKM",1999,"ICHmc","ICH","mc"
"59",412862,64919,28.9,"BL",5475,47480,1999-05-01,"RSK","DKM",1999,"ICHmc","ICH","mc"
"60",412862,64919,28.9,"BL",575,39582,1999-05-01,"RSK","DKM",1999,"ICHmc","ICH","mc"
"61",729688,64919,8.1,"BL",6110,39590,2000-06-01,"RSK","DKM",2000,"ICHmc","ICH","mc"
"62",934922,102525,1.1,"BL",440,32366,2002-06-01,"RSK","DSS",2002,"SBSmc","SBS","mc"
"63",398815,16653,52.8,"BA",19040,35006,1994-06-01,"RSK","DSS",1994,"ICHmc","ICH","mc"
"64",410739,28521,22,"BL",7585,32732,1996-06-01,"RSK","DKM",1996,"ICHmc","ICH","mc"
"65",410741,28521,3,"BL",495,32732,1997-05-01,"RSK","DKM",1997,"ICHmc","ICH","mc"
"66",411247,28583,34.4,"BL",17600,32732,1994-09-01,"RSK","DKM",1994,"ICHvc","ICH","vc"
"67",672810,38694,15.2,"BA",7920,NA,1993-05-01,"RSK","DKM",1993,"CWHvm","CWH","vm"
"68",412615,44574,16,"BL",10265,47443,1998-10-01,"RSK","DKM",1998,"ICHmc","ICH","mc"
"69",672331,64256,2.5,"BA",240,43077,1998-06-01,"RSK","DKM",1998,"CWHvm","CWH","vm"
"70",672331,64256,2.5,"BA",140,43078,1998-06-01,"RSK","DKM",1998,"CWHvm","CWH","vm"
"71",-401530009,-401530000,20.3,"BA",7155,35574,2001-06-20,"RSK","DSS",2001,"ICHmc","ICH","mc"
"72",715153,8269,42.6,"BL",7806,40408,1999-08-31,"RCB","DQU",1999,"ESSFwk","ESSF","wk"
"73",408326,16758,9,"BA",3402,32609,1994-05-01,"RSK","DKM",1994,"CWHws","CWH","ws"
"74",408326,16758,9,"BA",3600,32609,1994-05-01,"RSK","DKM",1994,"CWHws","CWH","ws"
"75",407213,28764,10.4,"BL",3675,40058,1999-06-01,"RSK","DKM",1999,"ICHvc","ICH","vc"
"76",853508,62803,6.9,"BA",3615,47476,2001-06-01,"RSK","DKM",2001,"CWHws","CWH","ws"
"77",870987,68660,10.5,"BA",5715,32608,2001-05-01,"RSK","DKM",2001,"CWHws","CWH","ws"
"78",870987,68660,10.5,"BA",1782,43070,2001-05-01,"RSK","DKM",2001,"CWHws","CWH","ws"
"79",870987,68660,10.5,"BA",810,47454,2001-05-01,"RSK","DKM",2001,"CWHws","CWH","ws"
"80",2120135,1079488,34.2,"BL",945,47450,2007-07-08,"RSK","DND",2007,"SBSmc","SBS","mc"
"81",2794863,1329690,4.7,"BL",315,47714,2012-06-23,"RSK","DND",2012,"SBSmc","SBS","mc"
"82",3594072,1702122,52.8,"BL",22800,43003,2018-09-11,"RSK","DKM",2018,"ICHvc","ICH","vc"
"83",2280831,-45550000,14.9,"BL",3780,39590,2011-06-07,"RSK","DSS",2011,"ICHmc","ICH","mc"
"84",671436,17019,23.5,"BA",4800,35026,1994-05-01,"RSK","DKM",1994,"CWHvm","CWH","vm"
"85",407125,28754,53.5,"BL",41460,35004,1994-05-01,"RSK","DKM",1994,"ICHvc","ICH","vc"
"86",975537,88148,3.7,"BA",15,40449,2002-05-01,"RSK","DKM",2002,"CWHvh","CWH","vh"
"87",2305151,98062,14.7,"BL",4850,43004,2009-05-31,"RSK","DSS",2009,"ICHmc","ICH","mc"
"88",332430,-223620000,26,"BL",16900,NA,1999-06-01,"RSK","DKM",1999,"ICHmc","ICH","mc"
"89",612814,86322,9,"BL",1350,35573,2001-08-22,"RSK","DSS",2001,"ESSFwv","ESSF","wv"
"90",2250276,1073277,70.2,"BL",10400,43678,2004-07-17,"RSK","DSS",2004,"SBSmc","SBS","mc"
"91",408140,28702,10,"BA",2200,36055,1997-06-01,"RSK","DKM",1997,"ICHmc","ICH","mc"
"92",408140,28702,10,"BA",7100,35008,1997-06-01,"RSK","DKM",1997,"ICHmc","ICH","mc"
"93",768947,46221,8.2,"BL",6435,40024,2000-06-15,"RSK","DKM",2000,"ICHmc","ICH","mc"
"94",768947,46221,8.2,"BL",1350,43003,2000-06-15,"RSK","DKM",2000,"ICHmc","ICH","mc"
"95",768947,46221,8.2,"BL",480,47445,2000-06-15,"RSK","DKM",2000,"ICHmc","ICH","mc"
"96",2324274,1160915,92.2,"BL",650,47716,2009-05-31,"RSK","DND",2009,"SBSmc","SBS","mc"
"97",2324274,1160915,92.2,"BL",4800,47716,2009-05-31,"RSK","DND",2009,"SBSmc","SBS","mc"
"98",409920,36555,16.8,"BA",2025,32609,1998-05-01,"RSK","DKM",1998,"CWHws","CWH","ws"
"99",409920,36555,16.8,"BA",5100,36023,1998-05-01,"RSK","DKM",1998,"CWHws","CWH","ws"
"100",731899,48275,15.9,"BA",8115,36024,2000-06-06,"RSK","DKM",2000,"CWHws","CWH","ws"
"101",1683026,1166291,6.5,"BA",3276,47460,2003-05-01,"RSK","DKM",2003,"CWHvm","CWH","vm"
"102",411239,28582,10.5,"BL",5780,32732,1993-10-01,"RSK","DKM",1993,"ICHvc","ICH","vc"
"103",401912,52878,36.2,"BL",16160,32367,1998-06-01,"RSK","DSS",1998,"ESSFwv","ESSF","wv"
"104",411377,28598,37,"BL",4300,NA,1993-10-01,"RSK","DKM",1993,"ICHvc","ICH","vc"
"105",672094,28486,25,"BA",1935,43078,1997-05-01,"RSK","DKM",1997,"CWHvm","CWH","vm"
"106",31695,-483800000,31.5,"BL",10170,1840,1997-05-20,"RCB","DQU",1997,"SBSwk","SBS","wk"
"107",494316,15564,45.3,"BL",8400,32270,1998-07-01,"RSK","DND",1998,"SBSmc","SBS","mc"
"108",407027,28739,42.2,"BL",4860,40024,1998-06-01,"RSK","DKM",1998,"ICHvc","ICH","vc"
"109",731965,46588,1.3,"BA",60,36024,2000-05-01,"RSK","DKM",2000,"CWHws","CWH","ws"
"110",731965,46588,1.3,"BA",220,47454,2000-05-01,"RSK","DKM",2000,"CWHws","CWH","ws"
"111",2305149,98056,13.9,"BL",4240,43004,2006-05-29,"RSK","DSS",2006,"ICHmc","ICH","mc"
"112",1634734,102857,3.8,"BL",2880,39590,2004-06-01,"RSK","DSS",2004,"CWHws","CWH","ws"
"113",2305197,1259521,26.7,"BA",6410,39638,2007-06-15,"RSK","DSS",2007,"CWHws","CWH","ws"
"114",2305197,1259521,26.7,"BL",3200,47443,2007-06-15,"RSK","DSS",2007,"CWHws","CWH","ws"
"115",2868481,1499031,30.8,"BA",11500,40015,2012-08-27,"RSK","DSS",2012,"CWHws","CWH","ws"
"116",154563,2404,34.4,"BL",13440,40058,1998-09-17,"RSK","DKM",1998,"ICHmc","ICH","mc"
"117",154563,2404,34.4,"BL",7080,39590,1998-09-17,"RSK","DKM",1998,"ICHmc","ICH","mc"
"118",412562,40509,16.7,"BA",6035,43078,1997-09-01,"RSK","DKM",1997,"CWHvm","CWH","vm"
"119",410254,44025,9.2,"BA",1125,32609,1998-06-01,"RSK","DKM",1998,"CWHws","CWH","ws"
"120",821449,54213,1.6,"BL",2025,43003,2001-06-23,"RSK","DKM",2001,"ICHmc","ICH","mc"
"121",821452,61503,20.8,"BL",24000,43003,2001-06-17,"RSK","DKM",2001,"ICHvc","ICH","vc"
"122",671972,64291,8,"BA",1425,40449,1998-05-01,"RSK","DKM",1998,"CWHvm","CWH","vm"
"123",734218,65985,0.8,"BA",200,40449,2000-04-01,"RSK","DKM",2000,"CWHvm","CWH","vm"
"124",635149,86408,29.1,"BL",10535,32377,2001-06-25,"RSK","DSS",2001,"ESSFmc","ESSF","mc"
"125",635149,86408,29.1,"BL",750,32377,2001-06-25,"RSK","DSS",2001,"ESSFmc","ESSF","mc"
"126",886759,95922,12.7,"BL",7110,47450,2001-07-15,"RSK","DND",2001,"SBSdk","SBS","dk"
"127",955411,95922,23.2,"BL",4890,47450,2002-05-22,"RSK","DND",2002,"SBSdk","SBS","dk"
"128",2562560,1228111,2,"BA",720,41437,2010-09-10,"RSK","DKM",2010,"CWHws","CWH","ws"
"129",3280193,1541124,10,"BL",4460,43001,2015-07-13,"RSK","DSS",2015,"ICHwc","ICH","wc"
"130",3456723,1541124,17.8,"BL",3600,39582,2017-06-16,"RSK","DSS",2017,"ICHwc","ICH","wc"
"131",3280229,1649855,5.5,"BL",2160,39590,2015-07-16,"RSK","DSS",2015,"ICHwc","ICH","wc"
"132",407568,28610,16.6,"BL",2880,39590,1996-06-01,"RSK","DKM",1996,"ICHvc","ICH","vc"
"133",407738,28633,101.1,"BL",77020,NA,1990-08-01,"RSK","DKM",1990,"ICHvc","ICH","vc"
"134",2804714,1387458,0.8,"BL",720,43678,2012-06-07,"RSK","DND",2012,"SBSmc","SBS","mc"
"135",3338089,1606224,17.2,"BL",2420,47716,2015-06-05,"RSK","DND",2015,"SBSmc","SBS","mc"
"136",3298886,1660938,46.6,"BL",2870,53508,2015-07-10,"ROM","DPG",2015,"SBSvk","SBS","vk"
"137",1643323,15810,11.2,"BL",1200,43011,2004-07-20,"RSK","DND",2004,"ESSFmc","ESSF","mc"
"138",1643323,15810,11.2,"BL",1420,43010,2004-07-20,"RSK","DND",2004,"ESSFmc","ESSF","mc"
"139",283053,66957,27.9,"BL",14730,NA,1999-06-23,"RSK","DKM",1999,"ICHmc","ICH","mc"
"140",2474238,1328972,21.5,"BL",2140,47716,2010-06-06,"RSK","DND",2010,"SBSmc","SBS","mc"
"141",770773,47223,8.9,"BA",1200,35567,2000-09-18,"RSK","DKM",2000,"CWHws","CWH","ws"
"142",770773,47223,8.9,"BA",540,35561,2000-09-18,"RSK","DKM",2000,"CWHws","CWH","ws"
"143",410077,36590,24,"BA",8280,NA,1993-05-01,"RSK","DKM",1993,"CWHws","CWH","ws"
"144",227739,-221460000,55.3,"BL",4600,39583,1996-05-22,"RSK","DKM",1996,"ICHmc","ICH","mc"
"145",227739,-221460000,55.3,"BL",2400,32732,1996-05-22,"RSK","DKM",1996,"ICHmc","ICH","mc"
"146",399011,16689,20.2,"BL",720,35022,1995-06-01,"RSK","DSS",1995,"ICHmc","ICH","mc"
"147",410809,28526,20.5,"BL",7700,32732,1995-06-01,"RSK","DKM",1995,"ICHmc","ICH","mc"
"148",761092,52947,27.4,"BL",9260,43678,2000-07-01,"RSK","DSS",2000,"ESSFmc","ESSF","mc"
"149",398110,16540,27,"BA",9220,35006,1995-06-01,"RSK","DSS",1995,"CWHws","CWH","ws"
"150",398110,16540,27,"BA",10360,35039,1995-06-01,"RSK","DSS",1995,"CWHws","CWH","ws"
"151",3676635,1701281,39.9,"BL",9170,47714,2019-06-10,"RSK","DSS",2019,"ESSFmc","ESSF","mc"
"152",739188,50309,0.5,"BL",125,43254,2000-06-16,"ROM","DPG",2000,"SBSvk","SBS","vk"
"153",672209,46760,13.8,"BA",2475,43078,1997-05-01,"RSK","DKM",1997,"CWHvm","CWH","vm"
"154",2046651,1117333,65.2,"BA",32130,35574,2007-09-13,"RSK","DKM",2007,"ICHmc","ICH","mc"
"155",2471634,1275814,4.9,"BL",1240,44928,2010-07-09,"RCB","DCC",2010,"ESSFwk","ESSF","wk"
"156",2841222,1369870,38.4,"BL",8640,53508,2012-06-16,"ROM","DPG",2012,"ESSFwk","ESSF","wk"
"157",1659097,109575,8.5,"BA",2340,40449,2003-04-01,"RSK","DKM",2003,"CWHvm","CWH","vm"
"158",412845,58265,4.3,"BA",3390,40449,1999-06-01,"RSK","DKM",1999,"CWHvm","CWH","vm"
"159",1666933,106569,25.4,"BL",360,47450,2003-06-01,"RSK","DND",2003,"SBSmc","SBS","mc"
"160",407293,28779,66.8,"BL",13080,39360,1996-06-01,"RSK","DKM",1996,"ICHvc","ICH","vc"
"161",137368,43352,21.1,"BL",4115,35573,1997-07-29,"RSK","DSS",1997,"ESSFmc","ESSF","mc"
"162",1728129,1006783,2.1,"BA",290,40450,2005-04-22,"RSK","DKM",2005,"CWHvh","CWH","vh"
"163",2187707,1120757,42.9,"BL",20520,43008,2008-09-16,"RSK","DKM",2008,"ICHvc","ICH","vc"
"164",2187707,1120757,42.9,"BL",1280,43101,2008-09-16,"RSK","DKM",2008,"ICHvc","ICH","vc"
"165",3506432,1695827,6.4,"BA",7875,35566,2017-07-19,"RSK","DKM",2017,"MHmm","MH","mm"
"166",411932,40426,17.4,"BA",700,35028,1995-05-01,"RSK","DKM",1995,"CWHvm","CWH","vm"
"167",738330,40500,1.2,"BA",495,8643,2000-05-01,"RSK","DKM",2000,"CWHws","CWH","ws"
"168",1732312,1006723,1.9,"BA",135,40449,2005-04-22,"RSK","DKM",2005,"CWHvh","CWH","vh"
"169",116565,-745350000,30,"BL",11600,3716,1996-06-26,"ROM","DPG",1996,"ESSFmm","ESSF","mm"
"170",494010,15525,55.4,"BL",39900,39609,1997-07-01,"RSK","DND",1997,"ESSFmc","ESSF","mc"
"171",770901,48230,22.6,"BL",22500,40024,2000-06-14,"RSK","DKM",2000,"ICHvc","ICH","vc"
"172",397083,44052,24.1,"BL",11160,40003,1997-06-01,"RSK","DSS",1997,"ICHmc","ICH","mc"
"173",739251,43541,5.1,"BA",2160,36024,2000-05-01,"RSK","DKM",2000,"CWHws","CWH","ws"
"174",1805992,1006990,11.1,"BA",2580,40449,2006-07-05,"RSK","DKM",2006,"CWHvm","CWH","vm"
"175",2323747,1249592,239,"BL",76400,47715,2009-07-15,"RSK","DND",2009,"SBSmc","SBS","mc"
"176",3207906,1611756,35.9,"BL",5530,40408,2014-07-13,"RCB","DQU",2014,"ESSFwk","ESSF","wk"
"177",1737870,104308,16.9,"BL",2600,43011,2005-05-28,"RSK","DND",2005,"SBSmc","SBS","mc"
"178",1672848,31984,3.4,"BL",5040,43011,2003-05-01,"RSK","DND",2003,"SBSmc","SBS","mc"
"179",412639,45430,42.1,"BA",792,47460,1999-06-01,"RSK","DKM",1999,"CWHvm","CWH","vm"
"180",3010249,1526232,43.5,"BA",7125,41423,2013-05-22,"RSK","DKM",2013,"CWHws","CWH","ws"
"181",3010249,1526232,43.5,"BA",780,41423,2013-05-22,"RSK","DKM",2013,"CWHws","CWH","ws"
"182",2631629,-400180000,21,"BL",3990,43004,2011-07-10,"RSK","DSS",2011,"ICHmc","ICH","mc"
"183",3097127,82475,37.1,"BL",11520,53508,2013-07-09,"ROM","DPG",2013,"SBSvk","SBS","vk"
"184",398736,16636,11.2,"BA",5000,35006,1994-06-01,"RSK","DSS",1994,"ICHmc","ICH","mc"
"185",399335,56526,21.5,"BL",4805,40007,1998-08-01,"RSK","DSS",1998,"CWHws","CWH","ws"
"186",3337964,1605581,2.3,"BL",540,47716,2015-05-27,"RSK","DSS",2015,"SBSmc","SBS","mc"
"187",3243669,1400930,3.1,"BA",233,40175,2014-05-01,"RSK","DKM",2014,"CWHws","CWH","ws"
"188",603159,51354,8.2,"BL",340,43011,1999-06-15,"RSK","DND",1999,"SBSmc","SBS","mc"
"189",408883,16902,9,"BA",4160,35561,1997-08-01,"RSK","DKM",1997,"CWHws","CWH","ws"
"190",494595,15611,13.8,"BL",10400,39609,1997-06-01,"RSK","DND",1997,"ESSFmc","ESSF","mc"
"191",494888,15656,44.8,"BL",3300,39609,1997-07-01,"RSK","DND",1997,"ESSFmc","ESSF","mc"
"192",411846,40413,20.4,"BA",5055,43078,1997-05-01,"RSK","DKM",1997,"CWHvm","CWH","vm"
"193",2137667,101385,33.3,"BL",10480,40006,2004-06-01,"RSK","DSS",2004,"CWHws","CWH","ws"
"194",2053764,1059895,48.6,"BA",9120,45358,2007-04-25,"RSK","DKM",2007,"CWHvh","CWH","vh"
"195",2120267,1067985,5.8,"BL",630,47450,2007-07-28,"RSK","DND",2007,"SBSmc","SBS","mc"
"196",2684860,1383810,6.4,"BA",2430,41437,2011-07-01,"RSK","DKM",2011,"CWHws","CWH","ws"
"197",3456758,1670563,12,"BL",4320,39582,2017-06-12,"RSK","DSS",2017,"ICHwc","ICH","wc"
"198",494500,15596,49.8,"BL",1440,39609,1996-06-01,"RSK","DND",1996,"SBSmc","SBS","mc"
"199",407170,28760,137,"BL",86760,NA,1990-09-01,"RSK","DKM",1990,"ICHvc","ICH","vc"
"200",412314,40468,0.5,"BA",270,35002,1995-05-01,"RSK","DKM",1995,"CWHws","CWH","ws"
"201",380742,85250,20.7,"BL",645,32377,2001-06-28,"RSK","DSS",2001,"SBSmc","SBS","mc"
"202",380742,85250,20.7,"BL",2315,32377,2001-06-28,"RSK","DSS",2001,"SBSmc","SBS","mc"
"203",1738091,1038492,1.3,"BL",80,43011,2005-05-29,"RSK","DND",2005,"SBSmc","SBS","mc"
"204",3376617,1328652,4.1,"BL",360,43011,2016-06-06,"RSK","DND",2016,"SBSmc","SBS","mc"
"205",2657376,1317813,6,"BA",1890,41436,2011-06-17,"RSK","DKM",2011,"CWHws","CWH","ws"
"206",1648429,71682,15.5,"BL",4870,32353,2004-06-15,"RSK","DND",2004,"SBSmc","SBS","mc"
"207",411499,28607,30,"BL",3580,47479,1998-05-01,"RSK","DKM",1998,"ICHvc","ICH","vc"
"208",411499,28607,30,"BL",14580,47480,1998-05-01,"RSK","DKM",1998,"ICHvc","ICH","vc"
"209",411499,28607,30,"BL",900,32732,1998-05-01,"RSK","DKM",1998,"ICHvc","ICH","vc"
"210",411499,28607,30,"BL",2880,47441,1998-05-01,"RSK","DKM",1998,"ICHvc","ICH","vc"
"211",411499,28607,30,"BL",5345,39582,1998-05-01,"RSK","DKM",1998,"ICHvc","ICH","vc"
"212",412704,48129,42.6,"BA",13010,39586,1998-04-01,"RSK","DKM",1998,"ICHmc","ICH","mc"
"213",412704,48129,42.6,"BL",8130,39582,1998-04-01,"RSK","DKM",1998,"ICHmc","ICH","mc"
"214",783113,86707,17.5,"BL",4605,43004,2000-07-01,"RSK","DKM",2000,"ICHmc","ICH","mc"
"215",783113,86707,17.5,"BL",480,39593,2000-07-01,"RSK","DKM",2000,"ICHmc","ICH","mc"
"216",783113,86707,17.5,"BA",18990,39638,2000-07-01,"RSK","DKM",2000,"ICHmc","ICH","mc"
"217",783113,86707,17.5,"BL",1440,39593,2000-07-01,"RSK","DKM",2000,"ICHmc","ICH","mc"
"218",2095439,1069599,43.6,"BL",13665,43101,2007-09-12,"RSK","DKM",2007,"ICHvc","ICH","vc"
"219",2095439,1069599,43.6,"BL",11480,43101,2007-09-12,"RSK","DKM",2007,"ICHvc","ICH","vc"
"220",248519,431,5,"BA",868,35026,1997-04-21,"RSK","DKM",1997,"CWHvh","CWH","vh"
"221",494576,15609,53.3,"BL",9085,39609,1996-07-01,"RSK","DND",1996,"ESSFmc","ESSF","mc"
"222",407346,28790,23,"BL",17140,40023,1998-06-01,"RSK","DKM",1998,"ICHvc","ICH","vc"
"223",407346,28790,23,"BL",9350,43003,1998-06-01,"RSK","DKM",1998,"ICHvc","ICH","vc"
"224",407392,28799,49.7,"BL",3510,39990,1995-08-01,"RSK","DKM",1995,"ICHvc","ICH","vc"
"225",407392,28799,49.7,"BL",9720,39360,1995-08-01,"RSK","DKM",1995,"ICHvc","ICH","vc"
"226",671756,47314,8.3,"BA",3040,40450,1997-05-01,"RSK","DKM",1997,"CWHvm","CWH","vm"
"227",1797099,1065131,2,"BL",210,47450,2005-05-29,"RSK","DND",2005,"SBSdk","SBS","dk"
"228",2305161,1260552,36,"BA",14850,39585,2006-06-17,"RSK","DSS",2006,"CWHws","CWH","ws"
"229",2305161,1260552,36,"BL",7600,43004,2006-06-17,"RSK","DSS",2006,"CWHws","CWH","ws"
"230",2518923,1318871,20.2,"BL",1620,2504,2010-07-23,"ROM","DPG",2010,"ESSFmm","ESSF","mm"
"231",411640,34219,1.2,"BA",380,32608,1996-05-01,"RSK","DKM",1996,"CWHws","CWH","ws"
"232",347449,79164,9.5,"BA",1800,40449,2001-05-30,"RSK","DKM",2001,"CWHvh","CWH","vh"
"233",131703,301,3.8,"BL",540,32377,1998-06-20,"RSK","DSS",1998,"SBSmc","SBS","mc"
"234",2852208,61425,36,"BL",6760,47714,2012-07-18,"RSK","DND",2012,"SBSmc","SBS","mc"
"235",2794851,1239292,15,"BL",2700,47714,2012-06-28,"RSK","DND",2012,"SBSmc","SBS","mc"
"236",2709708,1422332,16,"BL",4410,47714,2011-06-26,"RSK","DSS",2011,"SBSmc","SBS","mc"
"237",1789658,105609,52.1,"BL",2110,32353,2005-06-30,"RSK","DND",2005,"SBSmc","SBS","mc"
"238",1789658,105609,52.1,"BL",7050,32353,2005-06-30,"RSK","DND",2005,"SBSmc","SBS","mc"
"239",3077671,1447719,1.7,"BL",720,43678,2013-06-03,"RSK","DND",2013,"SBSmc","SBS","mc"
"240",2804668,1387480,1.3,"BL",1800,43678,2012-06-07,"RSK","DND",2012,"SBSmc","SBS","mc"
"241",3071092,1491111,10.8,"BL",1571,53508,2013-06-19,"ROM","DPG",2013,"SBSmk","SBS","mk"
"242",3340918,1612895,18.7,"BL",4100,47716,2015-05-24,"RSK","DND",2015,"SBSmc","SBS","mc"
"243",1618894,43639,10.7,"BA",5040,41424,2003-07-15,"RSK","DKM",2003,"CWHws","CWH","ws"
